event_id,match_id,home,away,time,time_seconds,player,team,pos,goal,type,situation,body_part,x,y,goal_x,goal_y,goal_z,goal_type,distance,angle,xG
0,11031760,Deportivo Cuenca,LDU,6,352,Francisco Mera,Deportivo Cuenca,M,0,miss,assisted,right-foot,77.94545454545454,30.571428571428577,120,47.142857142857146,6.9,no-goal,43.098523786460525,0.1654079448980822,0.004593665
1,11031760,Deportivo Cuenca,LDU,10,548,Nicolás Rinaldi,Deportivo Cuenca,M,0,miss,corner,right-foot,115.03448275862068,46.35714285714286,120,32.642857142857146,4.2,no-goal,8.066574662182068,0.6130051815237364,0.2988850562778113
2,11031760,Deportivo Cuenca,LDU,13,758,Nicolás Rinaldi,Deportivo Cuenca,M,0,miss,regular,left-foot,85.70909090909092,45.5,120,45.28571428571429,72.2,no-goal,34.72918723899238,0.2074242342136741,0.015790842
3,11031760,Deportivo Cuenca,LDU,17,982,Jhojan Julio,LDU,M,0,block,regular,right-foot,107.78181818181818,44.21428571428572,120,39.75,19,no-goal,12.9245569,0.5271452775956351,0.2401081880013053
4,11031760,Deportivo Cuenca,LDU,18,1064,Bryan Ramirez,LDU,D,0,save,regular,left-foot,112.21052631578948,38.75,120,40,7.6,no-goal,7.889131782205722,0.8624793374363076,0.4395457260066895
5,11031760,Deportivo Cuenca,LDU,24,1404,Lisandro Alzugaray,LDU,M,0,save,free-kick,left-foot,93.09090909,63.36492890995261,120,38.66666666666666,25.3,no-goal,35.637327011447674,0.155483869,0.003760625
6,11031760,Deportivo Cuenca,LDU,34,2024,Renato Ibarra,LDU,M,0,block,assisted,right-foot,106.58181818181818,57.79617834394905,120,41.08333333333333,19,no-goal,22.28792424061573,0.2004768561569005,0.021259731
7,11031760,Deportivo Cuenca,LDU,35,2069,Jose Enrique Angulo,LDU,F,0,miss,corner,right-foot,108.84210526315788,45.35714285714286,120,31.57142857142857,11.1,no-goal,12.377301585979298,0.5287393110070845,0.238717753
8,11031760,Deportivo Cuenca,LDU,39,2326,Enzo López,Deportivo Cuenca,F,1,goal,penalty,right-foot,108,40,120,43.50000000000001,19,penalty,12,0.592075229,0.2904254277319156
9,11031760,Deportivo Cuenca,LDU,49,2894,Enzo López,Deportivo Cuenca,F,0,miss,assisted,right-foot,80.74545454545455,47.85714285714286,120,32.5,4.2,no-goal,40.03316166280807,0.1788709820875335,0.007419506
10,11031760,Deportivo Cuenca,LDU,50,2986,Francisco Mera,Deportivo Cuenca,M,0,save,regular,right-foot,96.78181818181818,61.38853503184713,120,38.833333333333336,12,no-goal,31.568233997971767,0.1711768342769953,0.006842097
11,11031760,Deportivo Cuenca,LDU,51,3022,Jose Enrique Angulo,LDU,F,0,miss,assisted,right-foot,87.87272727272727,42.333333333333336,120,35.785714285714285,70.8,no-goal,32.21189372478753,0.2257004217362148,0.02319737
12,11031760,Deportivo Cuenca,LDU,54,3201,Lisandro Alzugaray,LDU,M,0,save,assisted,left-foot,84.69090909090909,32.642857142857146,120,42.083333333333336,20.3,no-goal,36.06742923812085,0.1981197283965412,0.012293892
13,11031760,Deportivo Cuenca,LDU,54,3213,Renato Ibarra,LDU,M,0,miss,regular,left-foot,93.21818181818182,56.26751592356688,120,47.5,55.6,no-goal,31.33524947160097,0.1997200887587559,0.012972194
14,11031760,Deportivo Cuenca,LDU,56,3353,Renato Ibarra,LDU,M,0,block,corner,right-foot,109.36842105263158,55.808917197452224,120,41.75,19,no-goal,19.051307930691483,0.2190611590194346,0.034730639
15,11031760,Deportivo Cuenca,LDU,57,3368,Alexander Alvarado,LDU,M,0,miss,corner,left-foot,113.26315789473684,55.04458598726114,120,48.92857142857143,5.6,no-goal,16.48407137449183,0.1886255013478257,0.038603886
16,11031760,Deportivo Cuenca,LDU,57,3419,Enzo López,Deportivo Cuenca,F,0,block,assisted,right-foot,106.69090909090907,31.214285714285715,120,41.75,19,no-goal,15.947434788600027,0.3842667635566024,0.1245633611847618
17,11031760,Deportivo Cuenca,LDU,58,3465,Marcos Andrés López,Deportivo Cuenca,D,0,save,corner,right-foot,86.34545454545454,48.92857142857143,120,39.5,28.5,no-goal,34.818785411142194,0.202651649,0.013960916
18,11031760,Deportivo Cuenca,LDU,62,3670,Bryan Ramirez,LDU,D,0,miss,assisted,left-foot,110.31578947368422,13.819905213270149,120,33.142857142857146,68.1,no-goal,27.91381909664396,0.092306467,0.002024035
19,11031760,Deportivo Cuenca,LDU,63,3776,Alexander Alvarado,LDU,M,0,save,assisted,right-foot,79.98181818181818,28.777070063694275,120,42.333333333333336,20.3,no-goal,41.56211053818471,0.1692693931163319,0.005181951
20,11031760,Deportivo Cuenca,LDU,69,4084,Bryan Ramirez,LDU,D,0,block,assisted,left-foot,112.42105263157896,23.57961783439491,120,42.333333333333336,19,no-goal,18.08505995781651,0.1750546089287132,0.026409152
21,11031760,Deportivo Cuenca,LDU,71,4210,Alexander Alvarado,LDU,M,0,miss,assisted,left-foot,109.68421052631578,27.248407643312103,120,35.07142857142857,68.1,no-goal,16.40178710069471,0.287233225,0.068111055
22,11031760,Deportivo Cuenca,LDU,77,4587,Francisco Mera,Deportivo Cuenca,M,1,goal,regular,right-foot,102.32727272727271,34.42857142857143,120,36.66666666666666,0.6,regular,18.530140463113845,0.3736326921011645,0.1187993509931916
23,11031760,Deportivo Cuenca,LDU,87,5216,Sergio López,Deportivo Cuenca,M,0,miss,assisted,right-foot,98.56363636363636,9.639810427,120,46.85714285714285,6.9,no-goal,37.16529021663662,0.114215561,0.000896785
24,11031760,Deportivo Cuenca,LDU,89,5320,Alexander Alvarado,LDU,M,0,block,free-kick,right-foot,97.41818181818184,15.611374407582945,120,39.75,19,no-goal,33.23768299210692,0.1503205104272907,0.003487198
25,11031760,Deportivo Cuenca,LDU,90,5404,Esteban Davila,Deportivo Cuenca,M,0,miss,assisted,right-foot,92.07272727272728,35.5,120,32.42857142857143,76.4,no-goal,28.28749833377761,0.2542049825562182,0.036791452
26,11031760,Deportivo Cuenca,LDU,90,5505,Leonel Quiñónez,LDU,D,0,block,free-kick,left-foot,84.43636363636364,53.28662420382166,120,39.16666666666666,19,no-goal,37.96454417135202,0.180331817,0.007581998
27,11031778,Independiente del Valle,Mushuc Runa,7,370,Jordy Alcivar,Independiente del Valle,M,0,miss,free-kick,right-foot,82.39999999999999,33.357142857142854,120,48.64285714285714,30.6,no-goal,38.18229368464405,0.1882820804671312,0.009561897
28,11031778,Independiente del Valle,Mushuc Runa,12,704,Jimmy Evans,Mushuc Runa,M,0,save,assisted,right-foot,108.84210526315788,54.43312101910828,120,37.33333333333333,7.6,no-goal,18.24317947372864,0.2503379177273525,0.047818806
29,11031778,Independiente del Valle,Mushuc Runa,14,797,Michael Hoyos,Independiente del Valle,F,0,block,assisted,right-foot,94.49090909090908,56.038216560509554,120,38.91666666666667,19,no-goal,30.132011374119514,0.2057848316024838,0.01504
30,11031778,Independiente del Valle,Mushuc Runa,15,872,Michael Hoyos,Independiente del Valle,F,0,block,throw-in-set-piece,right-foot,105.92727272727272,64.13270142180096,120,41.91666666666666,19,no-goal,27.93615812538217,0.1335009210301696,0.004504823
31,11031778,Independiente del Valle,Mushuc Runa,19,1134,Kevin Rodriguez,Independiente del Valle,F,1,goal,assisted,right-foot,103.52727272727272,49.35714285714285,120,40,27.2,regular,18.94483745643209,0.3357757569240998,0.090230249
32,11031778,Independiente del Valle,Mushuc Runa,30,1799,Michael Hoyos,Independiente del Valle,F,0,save,assisted,right-foot,110.31578947368422,58.789808917197455,120,39.75,19.6,no-goal,21.138610471428777,0.1621112380224096,0.016148688
33,11031778,Independiente del Valle,Mushuc Runa,35,2047,Michael Hoyos,Independiente del Valle,F,1,goal,assisted,right-foot,112.3157894736842,43.333333333333336,120,41.08333333333333,18.4,regular,8.376049339,0.7808483601395804,0.3934455242565728
34,11031778,Independiente del Valle,Mushuc Runa,42,2469,Charles Vélez,Mushuc Runa,M,0,block,free-kick,right-foot,93.6,23.656050955414017,120,41.833333333333336,19,no-goal,31.04971288711093,0.2005392514622186,0.01256816
35,11031778,Independiente del Valle,Mushuc Runa,45,2734,Joao Ortíz,Independiente del Valle,M,0,miss,corner,right-foot,89.65454545454546,37,120,30.214285714285715,33.3,no-goal,30.493386357868616,0.2377934509974844,0.028553329
36,11031778,Independiente del Valle,Mushuc Runa,54,3191,Kevin Rodriguez,Independiente del Valle,F,0,miss,assisted,right-foot,106.36363636363636,48.35714285714285,120,31.785714285714285,27.8,no-goal,15.993506493506496,0.3906345448949889,0.1324932932185678
37,11031778,Independiente del Valle,Mushuc Runa,56,3327,Marco Montaño,Mushuc Runa,D,0,miss,assisted,right-foot,90.54545454545456,57.94904458598725,120,42.16666666666667,80.6,no-goal,34.492585427648685,0.1812740598328911,0.007906689
38,11031778,Independiente del Valle,Mushuc Runa,63,3751,Charles Vélez,Mushuc Runa,M,0,miss,assisted,right-foot,108.94736842105264,52.90445859872611,120,34.42857142857143,4.2,no-goal,16.990753854558097,0.285842745,0.067378583
39,11031778,Independiente del Valle,Mushuc Runa,68,4079,Patrik Mercado,Independiente del Valle,M,0,miss,assisted,right-foot,111.26315789473684,51.29936305732484,120,30.142857142857142,51.4,no-goal,14.283137452028411,0.3237144634311685,0.1004251436386173
40,11031778,Independiente del Valle,Mushuc Runa,70,4164,Kendry Páez,Independiente del Valle,M,1,goal,assisted,right-foot,105.05454545454543,54.66242038,120,42.083333333333336,27.8,regular,20.93688570522353,0.2519678865795693,0.040323175
41,11031778,Independiente del Valle,Mushuc Runa,84,4996,Jorge Pinos,Mushuc Runa,G,0,save,free-kick,right-foot,47.400000000000006,65.83886256,120,36.58333333333333,25.3,no-goal,77.06105902695201,0.089453627,3.0905241631851155e-05
42,11031778,Independiente del Valle,Mushuc Runa,86,5139,Enzo Ariel Fernandez,Mushuc Runa,F,0,miss,assisted,left-foot,105.38181818181818,52.216560509554135,120,46.785714285714285,11.1,no-goal,19.05086849340521,0.2970721984060921,0.065785528
43,11031778,Independiente del Valle,Mushuc Runa,90,5657,Charles Vélez,Mushuc Runa,M,0,save,assisted,right-foot,40.52727272727273,21.974522292993637,120,39.25,22.2,no-goal,81.49130154029369,0.087553179,2.368533252472549e-05
44,11031780,Guayaquil City,Cumbayá FC,8,457,Rommel Tapia,Cumbayá FC,M,0,miss,regular,right-foot,90.16363636363636,33.64285714285714,120,40.33333333333333,81.9,no-goal,30.506095462176805,0.2337586333655334,0.026081764
45,11031780,Guayaquil City,Cumbayá FC,11,657,Hancel Batalla,Cumbayá FC,F,0,block,assisted,right-foot,88.63636363636363,27.63057324840765,120,39.83333333333333,19,no-goal,33.714691220793085,0.2016076906356342,0.012884506
46,11031780,Guayaquil City,Cumbayá FC,21,1252,Teodoro Paredes,Cumbayá FC,D,1,goal,corner,right-foot,107.01818181818182,39,120,43.75,15.2,regular,13.02027662170759,0.546742282,0.2578991928562136
47,11031780,Guayaquil City,Cumbayá FC,26,1546,Joel Alirio Almache Hidalgo,Cumbayá FC,M,0,miss,assisted,right-foot,112.63157894736842,29.46496815286625,120,0.4265402843601862,5.6,no-goal,12.856147355603332,0.3412256522457661,0.1167836327398927
48,11031780,Guayaquil City,Cumbayá FC,27,1595,Roger Arias,Guayaquil City,D,0,miss,regular,left-foot,90.41818181818184,37.75,120,33,9.7,no-goal,29.66726254547507,0.244817071,0.032187754
49,11031780,Guayaquil City,Cumbayá FC,32,1895,Roger Arias,Guayaquil City,D,0,miss,assisted,left-foot,88.76363636363635,39.83333333333333,120,33.714285714285715,5.6,no-goal,31.236808271667563,0.2332720809115985,0.026629777
50,11031780,Guayaquil City,Cumbayá FC,39,2296,Ángel Gracia,Guayaquil City,D,0,block,free-kick,left-foot,87.36363636363636,33.142857142857146,120,41.75,19,no-goal,33.348952600767305,0.2140936687970368,0.017775144
51,11031780,Guayaquil City,Cumbayá FC,42,2517,Roger Arias,Guayaquil City,D,0,miss,set-piece,left-foot,96.27272727272728,32.714285714285715,120,46.785714285714285,11.1,no-goal,24.820658809295157,0.2805875052120181,0.05127569
52,11031780,Guayaquil City,Cumbayá FC,45,2829,William Vargas,Guayaquil City,D,0,miss,corner,right-foot,98.05454545454546,44.142857142857146,120,34,9.7,no-goal,22.333075034861047,0.3196176038382965,0.080252642
53,11031780,Guayaquil City,Cumbayá FC,53,3172,Mauricio Alonso,Guayaquil City,M,0,block,assisted,right-foot,105.70909090909092,26.331210191082803,120,41.833333333333336,19,no-goal,19.77538615261372,0.2702118111563394,0.048620033
54,11031780,Guayaquil City,Cumbayá FC,58,3431,Ángel Gracia,Guayaquil City,D,0,block,free-kick,left-foot,113.47368421052632,65.66824644549763,120,37.25,19,no-goal,26.48493295008948,0.069320058,0.001997187
55,11031780,Guayaquil City,Cumbayá FC,69,4090,Kevin Becerra,Guayaquil City,D,0,save,set-piece,right-foot,107.89090909090908,35,120,40.16666666666667,0.6,no-goal,13.100766490729772,0.5106193408345502,0.2236806479704739
56,11031780,Guayaquil City,Cumbayá FC,72,4311,Teodoro Paredes,Cumbayá FC,D,0,miss,regular,right-foot,82.27272727272728,33.42857142857143,120,49.64285714285714,13.9,no-goal,38.29531016857552,0.1878070791571374,0.009442193
57,11031780,Guayaquil City,Cumbayá FC,76,4518,Mauricio Alonso,Guayaquil City,M,0,block,set-piece,right-foot,93.21818181818182,26.789808917197448,120,41.08333333333333,19,no-goal,29.86260091767164,0.2195882001913437,0.019059498
58,11031780,Guayaquil City,Cumbayá FC,76,4547,Kevin Becerra,Guayaquil City,D,0,block,corner,right-foot,112.42105263157896,35.71428571428571,120,43.333333333333336,19,no-goal,8.706766917293237,0.7266458526653824,0.3578698697713023
59,11031780,Guayaquil City,Cumbayá FC,83,4943,Cristian Duma,Cumbayá FC,F,0,save,assisted,left-foot,76.67272727272727,39.75,120,40.5,20.9,no-goal,43.32799397599052,0.1685410187625456,0.005355978
60,11031780,Guayaquil City,Cumbayá FC,90,5794,Ángel Gracia,Guayaquil City,D,0,miss,free-kick,left-foot,97.03636363636365,31,120,36,56.9,no-goal,24.664318256163547,0.2753647443721317,0.047415594
61,11031781,Gualaceo SC,Barcelona SC,3,132,Damián Díaz,Barcelona SC,M,0,miss,assisted,right-foot,88.50909090909092,26.10191082802548,120,36.16666666666666,86.1,no-goal,34.42142120837046,0.194295656,0.010653766
62,11031781,Gualaceo SC,Barcelona SC,6,329,Tobías Donsanti,Gualaceo SC,F,0,block,assisted,right-foot,115.55172413793105,48.92857142857143,120,37.75,19,no-goal,9.975296782560784,0.361514465,0.1669411458906164
63,11031781,Gualaceo SC,Barcelona SC,25,1470,Christian Ortíz,Barcelona SC,M,0,miss,regular,left-foot,98.05454545454546,30.42857142857143,120,45.642857142857146,83.3,no-goal,23.941913459549767,0.2794425427572991,0.0496638
64,11031781,Gualaceo SC,Barcelona SC,29,1685,Federico Jesus Flores,Gualaceo SC,M,0,miss,set-piece,right-foot,95.89090909090908,56.038216560509554,120,33.142857142857146,20.8,no-goal,28.95639229780901,0.2107182226946903,0.016946927
65,11031781,Gualaceo SC,Barcelona SC,39,2288,Jonathan Bauman,Barcelona SC,F,1,goal,penalty,right-foot,108,40,120,39.333333333333336,3.2,penalty,12,0.592075229,0.2904254277319156
66,11031781,Gualaceo SC,Barcelona SC,40,2370,Henry Patta,Gualaceo SC,M,0,miss,regular,right-foot,91.56363636363636,40.41666666666666,120,34.42857142857143,79.2,no-goal,28.439416097568092,0.2559559294343022,0.038472988
67,11031781,Gualaceo SC,Barcelona SC,42,2489,Jesús Preciado,Gualaceo SC,M,0,miss,assisted,right-foot,104.94545454545457,53.97452229299363,120,38.25,62.5,no-goal,20.54085227443961,0.2634743164139275,0.046001184
68,11031781,Gualaceo SC,Barcelona SC,55,3264,Henry Patta,Gualaceo SC,M,0,miss,fast-break,right-foot,89.52727272727273,31.214285714285715,120,36.58333333333333,72.2,no-goal,31.713969838987683,0.2210984374093224,0.02020734
69,11031781,Gualaceo SC,Barcelona SC,56,3334,Tobías Donsanti,Gualaceo SC,F,0,save,assisted,left-foot,107.45454545454544,25.33757962,120,42.5,17.1,no-goal,19.297020526895118,0.2504451483972646,0.04207228
70,11031781,Gualaceo SC,Barcelona SC,63,3744,Gabriel Cortez,Barcelona SC,M,0,save,assisted,right-foot,103.30909090909093,23.121019108280255,120,37,13.3,no-goal,23.73786937,0.2185564195742413,0.022372466
71,11031781,Gualaceo SC,Barcelona SC,65,3844,Gabriel Cortez,Barcelona SC,M,0,miss,regular,right-foot,93.34545454545454,51.22292993630573,120,39.91666666666666,98.6,no-goal,28.92090852209967,0.2327694161313511,0.025613136
72,11031781,Gualaceo SC,Barcelona SC,73,4331,Joaquín Vergés,Gualaceo SC,M,1,goal,penalty,right-foot,108,40,120,36.66666666666666,13.9,penalty,12,0.592075229,0.2904254277319156
73,11031781,Gualaceo SC,Barcelona SC,84,5026,Francisco Fydriszewski,Barcelona SC,F,0,miss,regular,right-foot,105.16363636363636,40.583333333333336,120,32.642857142857146,70.8,no-goal,14.847826902553477,0.4830472752364841,0.210698036
74,11031781,Gualaceo SC,Barcelona SC,87,5217,Tomson Minda,Gualaceo SC,M,0,miss,fast-break,right-foot,93.21818181818182,27.783439490445865,120,34,47.2,no-goal,29.43654422325359,0.2258752981562818,0.021633494
75,11031781,Gualaceo SC,Barcelona SC,90,5354,Adonis Preciado,Barcelona SC,M,0,block,assisted,left-foot,105.05454545454543,51.37579617834395,120,39.25,19,no-goal,18.782314827024727,0.311837644,0.074702568
76,11031781,Gualaceo SC,Barcelona SC,90,5756,Agustín Rodríguez,Barcelona SC,F,0,miss,assisted,right-foot,107.12727272727273,34.285714285714285,120,47.35714285714285,80.6,no-goal,14.084039500885618,0.4711711171066795,0.1932595765468316
77,11031782,Técnico Universitario,Universidad Católica del Ecuador,3,147,Layan Loor,Universidad Católica del Ecuador,D,0,miss,assisted,left-foot,88.12727272727273,46.85714285714285,120,30.85714285714286,5.6,no-goal,32.602011471148806,0.2187480583364393,0.020015557
78,11031782,Técnico Universitario,Universidad Católica del Ecuador,4,202,Alexander Bolaños,Técnico Universitario,F,0,save,fast-break,right-foot,114.10344827586206,57.33757961783439,120,38.91666666666667,17.1,no-goal,18.31286403706915,0.1332656776431448,0.019696675
79,11031782,Técnico Universitario,Universidad Católica del Ecuador,6,332,Mauro Díaz,Universidad Católica del Ecuador,M,0,miss,assisted,right-foot,87.49090909090908,31.28571428571429,120,33.5,11.1,no-goal,33.656793775488204,0.2094686527024069,0.015861744
80,11031782,Técnico Universitario,Universidad Católica del Ecuador,24,1397,Gregori Anangonó,Universidad Católica del Ecuador,D,0,miss,corner,right-foot,69.67272727272727,44.21428571428572,120,56.80254777070063,9.7,no-goal,50.50341160997861,0.1441901144728797,0.002019603
81,11031782,Técnico Universitario,Universidad Católica del Ecuador,24,1436,Jefferson Caicedo,Técnico Universitario,F,1,goal,assisted,left-foot,105.8181818181818,42.083333333333336,120,41.833333333333336,2.5,regular,14.334024023976196,0.4955114613803553,0.2197291515814523
82,11031782,Técnico Universitario,Universidad Católica del Ecuador,33,1977,Onofre Mejia,Técnico Universitario,M,0,miss,free-kick,right-foot,93.72727272727272,22.58598726,120,46,62.5,no-goal,31.519899080042435,0.1937578114387433,0.010697561
83,11031782,Técnico Universitario,Universidad Católica del Ecuador,35,2083,Alex Rangel,Técnico Universitario,D,0,block,corner,left-foot,83.03636363636363,39.41666666666666,120,42.833333333333336,19,no-goal,36.96823895,0.1973407057416776,0.012456885
84,11031782,Técnico Universitario,Universidad Católica del Ecuador,35,2088,Dennis Quintero,Técnico Universitario,D,0,save,corner,right-foot,104.83636363636364,33.5,120,41.833333333333336,10.8,no-goal,16.498056484586154,0.4051780612671926,0.1419345365399374
85,11031782,Técnico Universitario,Universidad Católica del Ecuador,36,2154,Jean Carlos Blanco,Técnico Universitario,F,1,goal,fast-break,right-foot,102.98181818181818,34.07142857142857,120,36.75,2.5,regular,18.021278300397217,0.3805748773048094,0.1237374032337269
86,11031782,Técnico Universitario,Universidad Católica del Ecuador,41,2455,Alexander Bolaños,Técnico Universitario,F,0,save,assisted,right-foot,110.52631578947368,54.58598726,120,42.41666666666666,15.8,no-goal,17.392576488349953,0.2354203700924771,0.046536784
87,11031782,Técnico Universitario,Universidad Católica del Ecuador,42,2510,Cristian Martínez,Universidad Católica del Ecuador,F,0,miss,assisted,right-foot,110.84210526315788,34,120,39.333333333333336,70.8,no-goal,10.948380520016666,0.5619095811011292,0.2560521180329931
88,11031782,Técnico Universitario,Universidad Católica del Ecuador,44,2624,Gregori Anangonó,Universidad Católica del Ecuador,D,0,miss,free-kick,right-foot,94.61818181818182,59.93630573248408,120,33.357142857142854,26.4,no-goal,32.27526886757031,0.1787535332892949,0.007878033
89,11031782,Técnico Universitario,Universidad Católica del Ecuador,45,2764,Cristian Martínez,Universidad Católica del Ecuador,F,0,miss,assisted,right-foot,111.36842105263158,54.20382165605096,120,48.07142857142857,4.2,no-goal,16.620851505309705,0.2358955036166509,0.050700582
90,11031782,Técnico Universitario,Universidad Católica del Ecuador,48,2858,Elvis Patta,Técnico Universitario,M,0,miss,assisted,left-foot,98.69090909090907,56.95541401273885,120,47.92857142857142,40.3,no-goal,27.23166208139492,0.2110231961056599,0.017911147
91,11031782,Técnico Universitario,Universidad Católica del Ecuador,56,3358,Jean Carlos Blanco,Técnico Universitario,F,0,save,assisted,right-foot,109.05263157894736,37.91666666666666,120,38.41666666666666,4.4,no-goal,11.143839245252874,0.6261968643950057,0.3101244470703075
92,11031782,Técnico Universitario,Universidad Católica del Ecuador,57,3360,Alexander Bolaños,Técnico Universitario,F,1,goal,regular,right-foot,115.55172413793105,43.583333333333336,120,36.75,13.9,regular,5.712043060310664,1.0372925515927958,0.4866680730931852
93,11031782,Técnico Universitario,Universidad Católica del Ecuador,61,3628,Gregori Anangonó,Universidad Católica del Ecuador,D,0,post,free-kick,right-foot,88.38181818181818,41.08333333333333,120,37.33333333333333,39.9,no-goal,31.636735492125524,0.2302222020499184,0.02524069
94,11031782,Técnico Universitario,Universidad Católica del Ecuador,66,3913,Santiago Zamora,Universidad Católica del Ecuador,M,0,block,regular,right-foot,91.30909091,50.152866242038215,120,40.583333333333336,19,no-goal,30.434338458253528,0.2261320428615533,0.022772569
95,11031782,Técnico Universitario,Universidad Católica del Ecuador,71,4235,Alexander Bolaños,Técnico Universitario,F,1,goal,assisted,left-foot,105.70909090909092,40.583333333333336,120,36.833333333333336,4.4,regular,14.302809528984351,0.5006854249950109,0.2243197588960225
96,11031782,Técnico Universitario,Universidad Católica del Ecuador,90,5342,Steven Tapiero,Técnico Universitario,M,0,miss,assisted,right-foot,43.45454545454545,33.142857142857146,120,54.58598726,37.5,no-goal,76.85198123492663,0.094798783,5.880285697024146e-05
97,11031782,Técnico Universitario,Universidad Católica del Ecuador,90,5593,Cristian Colmán,Universidad Católica del Ecuador,F,0,miss,assisted,right-foot,90.92727272727272,40.25,120,32.642857142857146,5.6,no-goal,29.07380214341393,0.2504466988090945,0.035407403
98,11031783,Aucas,El Nacional,1,41,Byron Palacios,El Nacional,F,0,block,assisted,right-foot,96.90909091,48.57142857142857,120,40.583333333333336,19,no-goal,24.630458184932944,0.2775538040872864,0.050239788
99,11031783,Aucas,El Nacional,3,156,Steven Gomez,El Nacional,M,1,goal,regular,right-foot,111.57894736842104,32.92857142857143,120,42.083333333333336,20.3,regular,10.996327999138575,0.5205474059450105,0.2279041150656097
100,11031783,Aucas,El Nacional,5,278,Carlos Cuero,Aucas,D,0,miss,corner,left-foot,91.69090909,29.38853503184713,120,46,68.1,no-goal,30.23256219491673,0.2261545820958757,0.021961472
101,11031783,Aucas,El Nacional,9,527,Jorge Ordóñez,El Nacional,M,0,save,assisted,right-foot,90.41818181818184,21.59235668789809,120,41.75,11.4,no-goal,34.841430786460506,0.1784507928570365,0.006854563
102,11031783,Aucas,El Nacional,10,561,Jhonny Quiñónez,Aucas,M,0,miss,assisted,right-foot,94.87272727272727,49.285714285714285,120,39.5,59.7,no-goal,26.78813775734816,0.2554815335317674,0.037231912
103,11031783,Aucas,El Nacional,12,713,Jefferson Valverde,El Nacional,M,0,block,assisted,left-foot,99.32727272727274,40.16666666666667,120,41.66666666666667,19,no-goal,20.673399107798872,0.3504364982513864,0.1043269513240847
104,11031783,Aucas,El Nacional,16,944,Steven Gomez,El Nacional,M,0,save,assisted,right-foot,105.8181818181818,45.785714285714285,120,38.66666666666666,14.6,no-goal,15.316607220206023,0.4387888983948899,0.1714896046539555
105,11031783,Aucas,El Nacional,17,973,Byron Palacios,El Nacional,F,0,save,throw-in-set-piece,left-foot,98.69090909090907,50.99363057324841,120,37.5,5.7,no-goal,23.977849539793244,0.2709447815213116,0.045917907
106,11031783,Aucas,El Nacional,18,1064,Steven Gomez,El Nacional,M,0,miss,assisted,right-foot,106.36363636363636,19.146496815286625,120,29.77070063694268,62.5,no-goal,24.91623985070764,0.1628747759132491,0.009509029
107,11031783,Aucas,El Nacional,20,1190,Daniel Segura,Aucas,F,0,block,assisted,right-foot,104.94545454545457,55.12101910828026,120,38.41666666666666,19,no-goal,21.33739810089205,0.2443971886408064,0.036539965
108,11031783,Aucas,El Nacional,21,1200,Mejia Marcos,Aucas,F,0,miss,assisted,right-foot,88,60.1656051,120,46.642857142857146,73.6,no-goal,37.82395575385162,0.1637963857751458,0.004485624
109,11031783,Aucas,El Nacional,22,1304,Daniel Segura,Aucas,F,0,save,assisted,right-foot,87.87272727272727,52.82802547770701,120,36.58333333333333,8.2,no-goal,34.59363945220656,0.1961819128761896,0.011732621
110,11031783,Aucas,El Nacional,27,1615,Cristopher Zambrano,Aucas,F,0,save,assisted,right-foot,118.03448275862068,43.833333333333336,120,37.33333333333333,7,no-goal,4.307865187143607,1.2263135406388157,0.5117642003907188
111,11031783,Aucas,El Nacional,29,1725,Gustavo Asprilla,El Nacional,F,0,miss,assisted,right-foot,95.50909090909092,20.904458598726123,120,34.714285714285715,75,no-goal,31.05550401308821,0.1863145933524638,0.009158887
112,11031783,Aucas,El Nacional,35,2062,Luis Cangá,Aucas,D,0,block,set-piece,right-foot,105.38181818181818,46.71428571428572,120,39.25,19,no-goal,16.08641887812458,0.4112212729387987,0.1491128651470427
113,11031783,Aucas,El Nacional,38,2233,Jefferson Valverde,El Nacional,M,0,block,regular,right-foot,86.98181818181818,46.642857142857146,120,39.91666666666666,19,no-goal,33.67978446485251,0.212366707,0.01753856
114,11031783,Aucas,El Nacional,43,2520,Erick Castillo,Aucas,F,0,block,assisted,left-foot,112.63157894736842,23.57961783439491,120,42.5,19,no-goal,17.997849295773815,0.1719787220156991,0.026159438
115,11031783,Aucas,El Nacional,45,2844,Steven Gomez,El Nacional,M,0,miss,fast-break,right-foot,92.45454545454544,33.92857142857142,120,31.714285714285715,79.2,no-goal,28.20663593932573,0.2522783811796607,0.035357181
116,11031783,Aucas,El Nacional,49,2896,Jhon Cifuente,Aucas,F,0,miss,assisted,right-foot,90.41818181818184,39.83333333333333,120,46.5,9.7,no-goal,29.58228768570689,0.2461905114763685,0.033103587
117,11031783,Aucas,El Nacional,55,3266,Gustavo Asprilla,El Nacional,F,0,miss,regular,left-foot,105.16363636363636,27.85987261146497,120,32.285714285714285,8.3,no-goal,19.170299396730123,0.2975876652608026,0.063343882
118,11031783,Aucas,El Nacional,55,3269,Byron Palacios,El Nacional,F,1,goal,assisted,right-foot,112.42105263157896,43.333333333333336,120,36.75,3.2,regular,8.279586603472879,0.7883081182300135,0.3969805729282797
119,11031783,Aucas,El Nacional,63,3728,Gustavo Asprilla,El Nacional,F,0,miss,assisted,right-foot,94.74545454545456,37.83333333333333,120,46.285714285714285,25,no-goal,25.347317620611197,0.2858122688601466,0.056493108
